category,title,venue,year,paper,pdf,code,project,notes
Survey and Position Papers,Spiking neural networks for autonomous driving: A review,EAAI,2024,https://doi.org/10.1016/j.engappai.2024.109415,,,,
Survey and Position Papers,Event-Based Neuromorphic Vision for Autonomous Driving: A Paradigm Shift for Bio-Inspired Visual Sensing and Perception,IEEE SPM,2020,https://doi.org/10.1109/msp.2020.2985815,https://mediatum.ub.tum.de/1550369,,,
Survey and Position Papers,Deep Event-Based Object Detection in Autonomous Driving: A Survey,BigDIA,2024,https://doi.org/10.1109/bigdia63733.2024.10808654,,,,
Survey and Position Papers,Exploring Deep Spiking Neural Networks for Automated Driving Applications,VISIGRAPP,2019,https://doi.org/10.5220/0007469400002108,,,,
Survey and Position Papers,"Neuromorphic Computing for Embodied Intelligence in Autonomous Systems: Current Trends, Challenges, and Future Directions",IOLTS,2025,https://doi.org/10.1109/iolts65288.2025.11116950,,,,
Survey and Position Papers,Advancing Neuromorphic Computing With Loihi: A Survey of Results and Outlook,Proceedings of the IEEE,2021,https://doi.org/10.1109/jproc.2021.3067593,https://ieeexplore.ieee.org/ielx7/5/9420072/09395703.pdf,,,
Survey and Position Papers,Embodied neuromorphic intelligence,Nature Communications,2022,https://doi.org/10.1038/s41467-022-28487-2,https://www.nature.com/articles/s41467-022-28487-2.pdf,,,
Survey and Position Papers,Neuromorphic Computing for Interactive Robotics: A Systematic Review,IEEE Access,2022,https://doi.org/10.1109/access.2022.3219440,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09938437.pdf,,,
Survey and Position Papers,Neuromorphic Perception and Navigation for Mobile Robots: A Review,ACM CSUR,2024,https://doi.org/10.1145/3656469,https://dl.acm.org/doi/pdf/10.1145/3656469,,,
Survey and Position Papers,Editorial: Brain-inspired autonomous driving,Frontiers in Neurorobotics,2025,https://doi.org/10.3389/fnbot.2025.1543115,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2025.1543115/pdf,,,
Perception,LaneSNNs: Spiking Neural Networks for Lane Detection on the Loihi Neuromorphic Processor,IROS,2022,https://doi.org/10.1109/iros47612.2022.9981034,,,,
Perception,SpikingRTNH: Spiking Neural Network for 4D Radar Object Detection,IV,2025,https://doi.org/10.1109/iv64158.2025.11097403,,,,
Perception,Temporal Pulses Driven Spiking Neural Network for Time and Power Efficient Object Recognition in Autonomous Driving,ICPR,2020,https://doi.org/10.1109/icpr48806.2021.9412302,,,,
Perception,Autonomous Driving using Spiking Neural Networks on Dynamic Vision Sensor Data: A Case Study of Traffic Light Change Detection,arXiv,2023,http://arxiv.org/abs/2311.09225,https://arxiv.org/pdf/2311.09225,,,
Perception,Toward Neuromorphic Perception: Spike-driven Lane Segmentation for Autonomous Driving using LiDAR Sensor,ITSC,2023,https://doi.org/10.1109/itsc57777.2023.10422133,https://mediatum.ub.tum.de/1716249,,,
Perception,Deep SCNN-Based Real-Time Object Detection for Self-Driving Vehicles Using LiDAR Temporal Data,IEEE Access,2020,https://doi.org/10.1109/access.2020.2990416,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09078792.pdf,,,
